"lat","lon","label","layer"
-34.0036249,18.4672507,"<b>Grounded Wellness</b><br/>Offer birth doula services, chest feeding support and well as Make and sell skincare products.<br/>Wynberg","Medical & Counselling"
-33.8794444,18.4963889,"<b>Jaydee & Koek</b><br/>Digital bakery<br/>Milnerton","Hospitality & Tourism"
-33.93385,18.4211428,"<b>Kitsune</b><br/>Hair and beauty services. We stock Wella and Davines products<br/>16 Scott Street, Gardens, Cape Town WC 8001 South Africa","Fashion & Beauty"
-33.741667,18.975,"<b>Omniography</b><br/>Photography/Videography and Online Social Media Marketing<br/>Paarl","Marketing & Social Media"
-33.8697364,18.5048421680024,"<b>Recovery Outcomes</b><br/>Continuing Care program for Addiction Recovery<br/>Milpark Centre, Milnerton","Medical & Counselling"
-33.9294195,18.4220974,"<b>The Raptor Room</b><br/>Restaurant & performance space<br/>79 Roeland Street, Gardens, Cape Town","Hospitality & Tourism"
